0.85A 20-30m,,1.63A 20-30m,,2.94A 20-30m,,4.4A 20-30m,,12A 20-30m,,17A 20-30m,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
20.240920745979672,12.932616690110565,20.28469384734314,12.804150393791572,20.366812882621236,12.685067854353989,20.335481360987874,12.497518025528317,20.563521916069227,12.101929946558982,20.298625209503687,11.466923316600592
20.404333301074665,12.926141949302785,20.439786535809,12.79827802001088,20.52186668214837,12.680183259616932,20.49060249599225,12.490923109669412,20.709818293647437,12.097432470995841,20.701457481570024,11.437452318613527
20.550937604176916,12.925152318404928,20.594665695194635,12.797829284867916,20.676748722196137,12.679661355655922,20.64551766365448,12.489559764300862,20.867374236158014,12.095320485538652,20.900362880503607,11.425028887054827
20.70580091992085,12.925106011761223,20.74952360969708,12.79792016975805,20.831638323981984,12.678947383547538,20.80041806792331,12.488571409124804,21.02587420234115,12.092300573949416,21.07015414747673,11.409454827315882
20.860662075168186,12.925114581731053,20.904385485109948,12.797910447523368,20.986527565685066,12.678242557541411,20.95531667177831,12.487628784460023,21.180665741963328,12.091765381241162,21.275481742569138,11.402924414283124
21.015522150167225,12.92515059000765,21.05925060126771,12.797818410368384,21.141416447305385,12.677546877637539,21.110216715964373,12.48664957538622,21.31298508281138,12.087877480700358,21.387656341808096,11.390873321185456
21.170386546159456,12.925076845057179,21.21411499725994,12.797744665417913,21.29178110502084,12.677039929114077,21.265116039984903,12.48568865851693,21.474386341318798,12.087075396201177,21.56955989721309,11.380029301266378
21.325250942151687,12.925003100106705,21.36897939325217,12.79767092046744,21.43636576218783,12.67583942277451,21.420013923674368,12.484764326056661,21.648656157698383,12.085789212568457,21.717913318993567,11.375103781519236
21.480113897812853,12.924965939565256,21.52384126866504,12.797661198232758,21.58673548506752,12.675203819079314,21.574908206536175,12.483931454618952,21.822930455107944,12.084389210774331,21.928289712212678,11.37500503694018
21.63499125678466,12.924562934933572,21.678702423912377,12.797669768202589,21.74164741198486,12.673922788631067,21.72980104906692,12.483135167590266,21.990583856141452,12.083540009037606,21.92882263470633,11.361468805601499
21.78985565277689,12.9244891899831,21.833568260235673,12.797559438843091,21.896551056998586,12.672852118534706,21.884693531514895,12.482348026663836,22.149059729514068,12.08113205483567,22.175785332537547,11.347769375151069
21.944702404713585,12.924863604043166,21.98843337639343,12.797467401688108,22.051452901598473,12.671827178949624,22.039582053052445,12.481661492862221,22.301781221765378,12.081333921431048,22.39547364952613,11.346800710408601
22.09954303524326,12.92539350184158,22.14330857486864,12.79711927366996,22.206361947853686,12.670619317319424,22.19447813632808,12.480782890913233,22.409195794366756,12.076183563453759,22.431691106512385,11.334603898323603
22.254394828338683,12.925639870470063,22.289868227707913,12.797263759451829,22.361264872701877,12.669566939427574,22.34936773811393,12.480068918804848,22.619745081427165,12.07144049484126,22.63743628476688,11.331956528793054
22.39939415681898,12.925743579641225,22.424266007013056,12.794789106074756,22.51616671730177,12.66854199984249,22.504256979817015,12.479364092798722,22.956169173033423,12.063712266123753,22.710942997491287,11.319851793751962
22.525682811267878,12.923071093363165,22.5776167446107,12.793489269018046,22.668721321737124,12.667658907312944,22.659154863506483,12.478439760338453,23.116548603627507,12.067855571169062,22.908962224326523,11.315853824360927
