0.85A 600-1200m,
X,Y
617.2599790527173,12.090804325578153
626.326056987351,12.077784607586675
632.8846295765412,12.062001350258305
641.4330405733805,12.054180198453817
646.4639823111834,12.039972518968778
656.1616642442759,12.023301373559676
665.4465844291865,12.017242077387422
666.8699728232965,12.001490412222863
676.3198606423832,11.993764412790043
681.9259862678923,11.977851177141249
689.137587072534,11.963499816489115
695.2105140659164,11.947382917845161
704.4547887815662,11.929162648335659
710.4736626238598,11.919721066152935
718.4224760543107,11.905978388198006
727.0389341585578,11.891442040211466
735.2550356963957,11.875532120881376
741.8537929543978,11.866014046873763
744.4364599092282,11.85282824403852
750.5985525507929,11.8370538522676
755.5319944805569,11.824834214913354
762.0805452112181,11.812045761333868
767.4728558128706,11.798164545697249
774.3176574461515,11.785784587794204
781.1371275700337,11.770973961327561
788.3071469746869,11.756731888722012
796.8755780408774,11.742063241551028
803.7955030914131,11.726077327192861
810.3401605958334,11.711874736410381
814.989623336824,11.694246878518557
821.5861274320089,11.679505338738583
828.1916870320799,11.664963442457822
829.8234027696958,11.675682721289528
835.0565424840233,11.650058877109494
842.9049420070595,11.636820519169977
841.2964040498075,11.65210184909325
850.6834050971715,11.630601642090763
852.0069362793287,11.615522798358763
855.6376556499471,11.601894964495203
861.3850714074999,11.589181888465564
867.4270336320255,11.576481228550092
874.1034986193831,11.561608675778528
880.7407720872163,11.547185882957944
887.0692091569543,11.533429623576062
893.0131636663109,11.517774459851488
898.7239904573483,11.502068549744438
904.1684510648196,11.487009735404389
909.6917726566995,11.472843238860865
916.247299369051,11.459399082123547
923.2665108701235,11.445309535530686
929.4214571256924,11.429208247117154
934.6689836987165,11.414301379252665
939.9191123510329,11.39955408192279
945.7860520719818,11.384602389462957
951.8204582421055,11.371155595775296
958.7761444304554,11.357372471869997
965.4968579075985,11.341640593864987
970.9065518445237,11.3257360276545
975.8434190620264,11.310638448168387
980.9047143635878,11.296682255661207
986.7285475492729,11.283406400492304
993.0424909810301,11.269692925351421
997.9073415238311,11.251197297968059
1001.1821865951074,11.235673029499049
1007.4949959269165,11.224656156615115
1013.619889943641,11.209919212373498
1020.8375371257687,11.19525260485841
1027.5859271608306,11.181282799951374
1032.9998254393104,11.165367072119086
1037.8221671538383,11.148948048406947
1042.637146514604,11.1351172345048
1048.5752938438254,11.122359155715575
1054.026707785406,11.106591066999714
1056.4151780519019,11.091004965036893
1063.6739621951413,11.078507040848308
1068.837309437914,11.063088651233697
1073.228023867206,11.047574034606876
1077.4505940353133,11.035037501393793
1081.5857508603337,11.01248555266348
1089.2324317135199,10.992332824072207
1097.9005076806693,10.975683374217937
1102.841368367086,10.958068793844241
1106.4618003025707,10.941366847584263
1111.99404675317,10.925938859662955
1117.336814849295,10.909651152442823
1120.659973681618,10.892485664594062
1124.0984356037295,10.877958162973142
1127.3913359711382,10.864559236446174
1133.3132588541048,10.85258698296131
1136.9439899781617,10.835624348636346
1139.519937324399,10.819315605279145
1143.870737809844,10.806590796385645
1149.3628784226353,10.793500494981918
1152.3404336266537,10.77375881843992
1155.16750803581,10.755550391797073
1156.2824391946922,10.738579490714084
1157.9848845459346,10.721227902312801
1160.3849063190958,10.70791332302835
1175.5757221984236,10.66698066228777
1176.5011895987677,10.645984635385433
1177.3995531787623,10.626591975555982
1179.5152667869183,10.605646461394038
1180.2714418712894,10.588812579560537
1182.5660421273117,10.577091498968858
1173.2653397699683,10.678835451026002
1171.204429144243,10.6865441001056
1168.1130632056547,10.6933962326208
1165.536924923498,10.7028179148292
1158.323737733459,10.729369928325598
1157.2932824205964,10.747356776177998
1154.7171441384394,10.766200140594796
1152.6562335127142,10.783330471882795
1150.5953228869885,10.789326087833595
1147.5039569484004,10.802173836299595
1142.8669080405182,10.811595518507994
1139.7755421019301,10.825299783538394
1135.6537208504792,10.844143147955192
1130.5014442861657,10.856990896421191
1125.349167721852,10.873264711144792
1122.7730294396952,10.886112459610791
1120.1968911575384,10.89896020807679
627.639251609159,12.069818351611532
636.398121768492,12.059540152838732
644.1265366149624,12.046692404372733
649.7940408357074,12.036414205599934
652.8854067742956,12.027849039955933
660.0985939643347,12.021853424005133
668.3422364672364,12.009862192103535
672.4640577186873,11.997014443637536
678.6467895958635,11.985879728300336
684.8295214730399,11.971318946705537
691.0122533502162,11.957614681675137
693.0731639759416,11.952475582288738
699.2558958531179,11.943053900080338
699.2558958531179,11.943053900080338
701.3168064788433,11.936201767565139
709.0452213253137,11.92335401909914
714.1974978896274,11.91393233689074
716.2584085153528,11.908793237504339
722.4411403925291,11.89851503873154
724.5020510182545,11.89508897247394
721.9259127360978,11.90194110498914
731.2000105518622,11.88309774057234
734.8066041468817,11.87710212462154
739.4436530547639,11.867680442413143
742.5350189933521,11.860828309897942
744.5959296190775,11.856545727075943
746.1416125883716,11.847980561431942
748.202523214097,11.841128428916743
752.8395721219792,11.833419779837143
757.9918486862929,11.822285064499944
761.0832146248811,11.815432931984745
763.6593529070378,11.806867766340744
769.3268571277828,11.795733051003545
772.418223066371,11.789737435052746
776.0248166613904,11.782028785973147
778.6009549435472,11.777746203151146
780.6618655692727,11.774320136893547
783.7532315078608,11.767468004378348
787.8750527593118,11.758046322169948
791.4816463543311,11.750337673090348
795.0882399493507,11.741772507446347
798.6948335443703,11.731494308673549
805.9080207344093,11.71693352707875
811.5755249551542,11.70665532830595
814.6668908937424,11.69809016266195
820.8496227709187,11.683529381067151
818.2734844887618,11.68866848045355
826.0018993352323,11.669825116036751
832.69985886884,11.652694784748752
839.3978184024477,11.641560069411552
857.9460140339766,11.594451658369556
865.6744288804468,11.578177843645957
873.9180713833487,11.566186611744357
876.4942096655054,11.554195379842756
883.7073968555445,11.539634598247957
890.9205840455836,11.525930333217559
896.5880882663284,11.51051303505836
907.9230967078183,11.479678438739962
901.2251371742107,11.49595225346356
912.5601456157005,11.469400239967161
921.3190157750337,11.453126425243562
925.4408370264846,11.436852610519963
934.1997071858177,11.422291828925164
938.3215284372686,11.407731047330365
944.5042603144449,11.388887682913566
949.1413092223271,11.377752967576367
954.808813443072,11.364905219110367
962.5372282895424,11.348631404386767
969.2351878231502,11.331501073098769
974.3874643874638,11.31608377493957
979.5397409517773,11.30237950990917
983.6615622032282,11.288675244878771
990.8747493932672,11.274970979848371
996.5422536140122,11.259553681689173
1000.1488472090317,11.241566833836773
1005.8163514297767,11.230432118499573
1012.5143109633843,11.215871336904774
1018.6970428405606,11.199597522181175
1026.425457687031,11.188462806843976
1051.6716128521675,11.11394586574118
1055.7934341036184,11.09938508414638
1061.9761659807948,11.08910688537358
1068.1588978579712,11.069407004392382
1071.2502637965592,11.055702739361982
1074.3416297351473,11.041998474331583
1074.3416297351473,11.041998474331583
1079.493906299461,11.025724659607985
