0.85A 5-10m,,1.63A 5-10m,,2.94A 5-10m,,4.4A 5-10m,,12A 5-10m,,17A 5-10m,,34A 5-10m,,51A 5-10m,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
5.112594375570462,12.916675212798687,5.148995985715172,12.810228939285006,5.137082731485994,12.706887195966807,5.148995985715172,12.512682942911475,5.113256223027639,12.303640502228903,5.228417680576356,11.988909586741785,5.129140561999876,11.509809686731531,5.133111646742935,11.100842834995648
5.180764663659645,12.913081780210213,5.212533341604119,12.80949558569552,5.200620087374941,12.7060438393389,5.209413203591715,12.513354019648519,5.176793578916586,12.29674697848775,5.2919550364653025,11.987296208844919,5.187674351112568,11.50178386504821,5.19135422297447,11.091113677375152
5.244302019548592,12.912959554611966,5.276070697493066,12.809788927131315,5.264157443263888,12.705994949099601,5.276070697493066,12.512071814920237,5.240330934805533,12.296074737697388,5.3554923923542495,11.985951727264197,5.259335411790174,11.497684907385386,5.231847253763543,11.084784613669541
5.307839375437539,12.913362899086183,5.339608053382013,12.810143381366231,5.327694799152835,12.706447183813117,5.339608053382013,12.512328488676557,5.30386829069448,12.295683615782997,5.419029748243196,11.98490058711927,5.319752629666716,11.494898163745344,5.292915782774107,11.081783527191517
5.371376731326486,12.913424011885306,5.40314540927096,12.810180049045707,5.391232155041782,12.706447183813117,5.40314540927096,12.512352933796207,5.367405646583427,12.294828036595264,5.487332405823814,11.982343627603933,5.383289985555663,11.492319203622323,5.3554923923542495,11.078952230349532
5.434914087215433,12.913546237483553,5.466682765159907,12.809813372250964,5.4547695109307295,12.706447183813117,5.466682765159907,12.512450714274804,5.4309430024723735,12.294388024441574,5.54610446002109,11.979705999193754,5.44682734144461,11.490216923332468,5.419029748243196,11.075615471517379
5.49845144310438,12.913546237483553,5.5302201210488535,12.809703369212542,5.5183068668196755,12.706447183813117,5.5302201210488535,12.512450714274804,5.49448035836132,12.294009125087006,5.609641815910037,11.979253764480239,5.510364697333557,11.488297981439983,5.482567104132143,11.071496468856441
5.561988798993327,12.913546237483553,5.5937574769378005,12.809703369212542,5.5818442227086225,12.706447183813117,5.5937574769378005,12.512450714274804,5.558017714250267,12.293312439176997,5.673179171798984,11.978789307206899,5.573902053222504,11.485719021316964,5.542059836671678,11.066726501712985
5.625526154882274,12.913546237483553,5.657294832826747,12.809703369212542,5.64538157859757,12.706447183813117,5.657294832826747,12.512450714274804,5.621555070139214,12.292884649583131,5.736716527687931,11.978288182254085,5.634035622188829,11.483059741515094,5.59205558347649,11.060019485181007
