0.85A 60-120m,,1.63A 60-120m,,2.94A 60-120m,,4.4A 60-120m,
X,Y,X,Y,X,Y,X,Y
61.2484218470705,12.872982004405136,61.32514867924528,12.672731125693945,61.15956226415094,12.496146077339544,61.09462641509434,12.26891728287132
62.003728301886795,12.874954302969941,62.06866415094339,12.674906916159884,61.87385660377359,12.499537037033312,61.62909840348331,12.268682856052449
62.718022641509435,12.874161623583817,62.78295849056604,12.67300821724689,62.58815094339623,12.49893670886925,62.26347169811321,12.270348546942339
63.46649374379345,12.868427441302865,63.557859622641516,12.667959395193567,63.30244528301887,12.497663151427963,62.84789433962264,12.268389962682209
64.14661132075472,12.864761996415211,64.21154716981133,12.66536379497962,64.01673962264151,12.496101067153582,63.432316981132075,12.26625505646852
64.83093526850509,12.865089259825183,64.86854517203108,12.665840237641895,64.73103396226415,12.494442807268166,64.01673962264151,12.26429647220839
65.5752,12.864931842544294,65.6401358490566,12.66786589967623,65.4453283018868,12.492976898604816,64.60116226415094,12.2621615659947
66.28949433962265,12.864187250963685,66.39938577648768,12.663135953533178,66.15962264150944,12.49112628749734,65.20086392896782,12.255414132792607
67.00378867924529,12.864981469159588,67.08418544474395,12.657713538058614,66.87391698113208,12.489083325167796,65.77000754716983,12.252425773007003
67.71808301886793,12.865198633689298,67.78301886792454,12.655413466262246,67.58821132075472,12.486655660394126,66.35443018867925,12.24805745538157
68.43237735849058,12.865175359191428,68.49731320754718,12.658395679609127,68.30250566037736,12.48369902975978,66.93885283018868,12.243953620686476
69.14667169811321,12.865152084693557,69.21160754716982,12.658372405111258,69.01680000000002,12.481175189375076,67.47332481857765,12.24135241072176
69.86096603773586,12.865128810195689,69.92590188679247,12.658830008668549,69.70512000000001,12.477190326048065,68.10769811320756,12.240124613142994
70.5752603773585,12.865105535697818,70.6401962264151,12.65866247075413,70.4453886792453,12.477522054965636,68.692120754717,12.237872158960267
71.28955471698114,12.863831978256533,71.35449056603775,12.657725527951456,71.15968301886794,12.475719531663675,69.27654339622643,12.235972348684657
72.0038490566038,12.861837103732507,72.0687849056604,12.656403882704655,71.87397735849058,12.474253623000324,69.86096603773586,12.233602346532889
72.71814339622642,12.860130756041576,72.87584474393532,12.654048761820448,72.58827169811323,12.473124328975587,70.49177142857144,12.227364344497053
73.43243773584908,12.859001462016838,73.49737358490569,12.652606484878666,73.30256603773586,12.4718507715343,71.02981132075473,12.223602070614852
74.14673207547172,12.858641572880355,74.21166792452831,12.65205424452012,74.01686037735851,12.470384862870949,71.61423396226417,12.219439461935238
74.86102641509436,12.858185508132841,74.92596226415097,12.651838618800186,74.73115471698115,12.46877469079105,72.1986566037736,12.215247466263364
75.57532075471701,12.858595023884616,75.64025660377361,12.651719168691285,75.44544905660379,12.466491289433929,72.74411773584907,12.212044143049486
76.28961509433964,12.858379398164683,76.35455094339625,12.650878401499643,76.19470885341076,12.46205389470339,73.36750188679247,12.211330297743103
77.00390943396229,12.857490543167525,77.0688452830189,12.649508668447325,76.87403773584909,12.456274169571554,73.9519245283019,12.208842747622297
77.71820377358493,12.856361249142786,77.78313962264153,12.648042759783975,77.56541354051058,12.453622370365066,74.53634716981134,12.206825389377649
78.43249811320757,12.855376218534596,78.49743396226418,12.647442431619913,78.33915283018871,12.449911900440805,75.12076981132077,12.20457293519492
79.14679245283023,12.854343100120891,79.21172830188682,12.647419157122043,79.00666772591859,12.446585853589877,75.74651526586624,12.200123124768407
79.86108679245285,12.853742771956828,79.92602264150946,12.647395882624172,79.73121509433966,12.447405047073401,76.28961509433964,12.194778368222702
80.5753811320755,12.853671409653442,80.6403169811321,12.647372608126304,80.44550943396229,12.445121645716279,76.87403773584907,12.190850855481166
81.28967547169815,12.853648135155574,81.35461132075474,12.647156982406369,81.15980377358494,12.443367210219833,77.4584603773585,12.186688246801552
82.00396981132079,12.853817211879768,82.0689056603774,12.646027688381631,81.87409811320758,12.441757038139935,78.02760399556051,12.182621211535354
82.71826415094343,12.854130552020509,82.78320000000004,12.643792374830024,82.58839245283022,12.440098778254521,78.61107169811324,12.180229632416681
83.43255849056607,12.853722575078512,83.5180003972195,12.63842562387821,83.30268679245287,12.438488606174623,79.21172830188682,12.179343144408172
84.14685283018872,12.852689456664805,84.1511818867925,12.639076871797709,84.0169811320755,12.436493731650597,79.79615094339626,12.177090690225445
84.88820377358493,12.850224844427231,84.92608301886796,12.641270073255098,84.73127547169815,12.433873715654862,80.38057358490569,12.174720688073677
85.575441509434,12.84511716610581,85.64037735849061,12.640862096313102,85.45948463611863,12.42969726226705,81.0039577358491,12.168329275862705
86.27427493261459,12.844090276207867,86.35467169811324,12.638819133983558,86.13821886792456,12.428025276748004,81.54941886792456,12.164602864186602
87.00403018867928,12.847306700066566,87.06896603773589,12.63203952281069,86.87415849056607,12.425292350584918,82.13384150943399,12.159705580700493
87.71832452830193,12.847620040207307,87.78326037735853,12.629683989745292,87.60343802612486,12.421399368997811,82.71826415094343,12.155572359013139
88.43261886792456,12.847596765709438,88.49755471698117,12.631920842106675,88.25810377358495,12.418049112857117,83.30268679245287,12.150939558457369
89.16855849056608,12.846382612737234,89.21184905660382,12.631224338331581,89.01704150943401,12.41796126845839,83.8668169811321,12.148022884782089
89.9022196623635,12.841841617145281,89.92614339622645,12.631201063833712,89.73133584905665,12.415870218323333,84.45205132075475,12.147851737877867
90.5755018867925,12.838991356736736,90.6404377358491,12.631129701530327,90.44563018867929,12.414211958437917,85.05595471698118,12.145710319506692
91.28979622641515,12.836178989518938,91.35473207547174,12.629711880672492,91.15992452830193,12.412505610746988,85.66878679245286,12.13913705177152
91.95358490566042,12.834933793196727,92.12178679245288,12.624715810140357,91.87421886792458,12.410606911833993,86.22480000000004,12.136268396441592
92.71838490566043,12.836973977119728,92.78332075471704,12.621923194988675,92.58851320754721,12.40832351047687,86.80922264150948,12.131576821901302
93.43267924528307,12.836902614816342,93.49761509433966,12.62074581315842,93.33991374663077,12.403521159951836,87.39364528301891,12.126297507515815
94.14697358490571,12.836831252512956,94.16695384615389,12.62243666917785,94.02328625336932,12.398171451125462,87.97806792452835,12.120841871176772
94.90622351233677,12.83591134019156,94.92620377358496,12.622189986133677,94.70405481628606,12.395293648818,88.53218716981135,12.11864330098305
95.57556226415099,12.832745327853873,95.6404981132076,12.620724077470326,95.46115148247983,12.390366433906934,89.14691320754721,12.118952405122435
96.24019977802448,12.83253132014716,96.35479245283025,12.619690959056621,96.09910754716987,12.388766620741807,89.7573101886793,12.115094574816947
97.00415094339628,12.832314076414004,97.0690867924529,12.618898279670494,96.87427924528308,12.38793889736741,90.31575849056608,12.1088051942431
97.71844528301892,12.830223026278947,97.78338113207553,12.618778829561593,97.58857358490572,12.385847847232352,90.90018113207552,12.104848294509306
98.43273962264156,12.829286083476273,98.49767547169817,12.618755555063723,98.30286792452836,12.383852972708327,91.48460377358495,12.099686528092858
99.14703396226422,12.829695599228048,99.21196981132081,12.618732280565855,99.017162264151,12.381906185989816,92.06902641509438,12.09473047062223
99.86132830188686,12.82928762228605,99.92626415094345,12.618180040207308,99.73145660377365,12.379718960243727,92.65344905660382,12.0900682830742
100.5756226415095,12.828014064844764,100.68551407837451,12.615022195398435,100.47280754716988,12.376204430919051,93.23787169811325,12.086581575216561
101.28991698113214,12.826548156181413,101.35485283018875,12.610487530134522,101.19422204568029,12.369970215607076,93.84664528301892,12.082965505818994
102.00421132075478,12.825515037767707,102.06914716981139,12.609791026359428,101.87433962264157,12.365944112178052,94.40671698113212,12.079402450555463
102.71850566037742,12.824914709603645,102.78344150943403,12.608974303070545,102.58863396226421,12.361689110794774,94.99113962264155,12.076062677659124
103.43280000000007,12.824891435105775,103.44043951165378,12.609166461941387,103.27695396226422,12.358401520647744,95.56028324084356,12.071651641718825
104.14709433962271,12.825349038663065,104.21203018867931,12.608951797977562,104.0172226415095,12.358613030051526,96.11032807991126,12.066468523059532
104.86138867924535,12.825229588554164,104.92632452830196,12.60546620148254,104.73151698113215,12.355993014055791,96.67947169811326,12.061843134940396
105.57568301886799,12.82429264575149,105.6406188679246,12.60424073184677,105.44581132075479,12.353901963920732,97.21751159029655,12.059642569789716
106.28997735849063,12.822586298060559,106.35491320754724,12.6042174573489,106.16010566037743,12.352003265007738,97.84831698113213,12.059365929040865
107.06514905660384,12.818326307567458,107.06920754716988,12.603761392601387,106.87440000000007,12.349383249012003,98.43273962264156,12.0569959268891
107.73402695417796,12.815708487009035,107.78350188679252,12.601622254660812,107.6228711022841,12.342839166848677,99.017162264151,12.053685540985018
108.37556403995568,12.816484736260243,108.55055660377366,12.595715521311718,108.30298867924536,12.338805470608257,100.85897907375649,12.024169074980424
109.1471547169812,12.818213385378156,109.21209056603782,12.592655417741852,109.01109865229118,12.334710963420836,101.61459622641516,12.024977975986278
109.9124700808626,12.81364758563814,109.92638490566046,12.591309728592291,109.73157735849064,12.3302954678417,102.1990188679246,12.023783453524903
110.5757433962265,12.808669494793003,110.6406792452831,12.58962742480412,110.39536603773593,12.327848076381589,102.78344150943403,12.02094325949698
111.29003773584914,12.80650631294967,111.35497358490574,12.591840233262745,111.16016603773593,12.327556001737063,103.34188981132081,12.0142542158284
111.94345471698121,12.807224372083587,112.06926792452838,12.590230061182847,111.87446037735857,12.325080249157876,104.0172226415095,12.001948448084006
112.71862641509442,12.81021061278418,112.78356226415103,12.589725908629816,112.58875471698121,12.3232296380504,104.58865811320761,11.997656959811136
113.43292075471706,12.810716304146986,113.49785660377367,12.58907749266024,113.30304905660385,12.321186675720856,105.2013469478358,11.992988319571065
114.1472150943397,12.809971712566377,114.21215094339631,12.588332901079628,114.06229898403491,12.316778547968568,105.77049056603781,11.990636101735555
114.89647489114667,12.806614443928966,114.92644528301895,12.587588309499019,114.73163773584915,12.311426390010883,106.35491320754724,11.988795065444464
115.575803773585,12.801389578091545,115.64073962264159,12.586122400835668,115.44593207547179,12.308614022793083,107.14280150943404,11.977860941441193
