0.85A 10-20,,1.63A 10-20,,2.94A 10-20m,,4.4A 10-20m,,12A 10-20m,,17A 10-20m,,34A 10-20m,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
10.378822028492431,12.916920014393838,10.416935998298937,12.809849849213718,10.294971294918117,12.712248474151568,10.401690410376338,12.513439703074397,10.29497129491812,12.23739999317878,10.269285793526784,11.847129472119317,10.294971294918131,11.080591655622158
10.500786731873252,12.916179705456493,10.538900701679758,12.80899013560906,10.41693599829894,12.705036432245826,10.523655113757158,12.512568049003008,10.416935998298943,12.229805856337634,10.401690410376343,11.851245299086544,10.332969767846436,11.061869003787383
10.622751435254072,12.915666265387046,10.66086540506058,12.808870730941747,10.53890070167976,12.70411701630751,10.645619817137979,12.512006847066633,10.538900701679763,12.22863569059796,10.523655113757163,11.849633336077812,10.464067175596265,11.050390623410827
10.744716138634892,12.915666265387046,10.7828301084414,12.808870730941747,10.66086540506058,12.70374686183884,10.767584520518799,12.512042668466828,10.660865405060584,12.228086429128318,10.645619817137984,11.848666158272572,10.514299866622846,11.036815154659315
10.866680842015713,12.915737908187433,10.90479481182222,12.808679683474045,10.7828301084414,12.70305431476842,10.88954922389962,12.512365061068575,10.782830108441404,12.227429703458093,10.767584520518804,11.847722861400793,10.694128505982635,11.023592933099192
10.988645545396533,12.916167764989762,11.026759515203041,12.808739385807701,10.90479481182222,12.702719981699941,11.01151392728044,12.512365061068575,10.904794811822224,12.226940144322107,10.889549223899625,11.846588517061313,11.232961615619995,10.971151913471711
11.110610248777355,12.915666265387046,11.148724218583862,12.808870730941747,11.026759515203041,12.70218266069703,11.133478630661262,12.512365061068575,11.026759515203045,12.2261759544513,11.011513927280447,11.845287006187595,11.305753774186684,10.955863132208584
11.232574952158176,12.915666265387046,11.270688921964684,12.80881102860809,11.148724218583864,12.701752803894701,11.255443334042083,12.512042668466828,11.148724218583867,12.225328181313373,11.133478630661266,11.84366310271213,11.471676589411008,10.941267105676168
11.354539655538996,12.915666265387046,11.392653625345503,12.808691623940776,11.270688921964684,12.701108018691208,11.377408037422903,12.511481466530455,11.270688921964688,12.224146075106969,11.255443334042088,11.84181233036877,11.590301783056402,10.927817363949965
11.476504358919817,12.915666265387046,11.514618328726325,12.80924088541042,11.392653625345504,12.700928911690237,11.499372740803725,12.510633693392528,11.392653625345508,12.222283362296876,11.377408037422908,11.839639165423662,11.719819024232983,10.914055783453897
11.598469062300637,12.915666265387046,11.636583032107145,12.809622980345823,11.514618328726325,12.700928911690237,11.621337444184544,12.509594872786899,11.514618328726328,12.220193780618889,11.499372740803729,11.837549583745673,11.825882415479475,10.898833340349961
11.72043376568146,12.915666265387046,11.758547735487966,12.808834909541552,11.636583032107147,12.700928911690237,11.743302147565366,12.50863963544839,11.63658303210715,12.217901211006467,11.621337444184551,11.834815216864191,11.98263159245382,10.88311884435146
11.84239846906228,12.915666265387046,11.880512438868786,12.807103541865505,11.758547735487968,12.700928911690237,11.865266850946186,12.507827683710657,11.758547735487971,12.21616984333042,11.743302147565371,11.831853981114815,12.09085390973846,10.869428481633605
11.9643631724431,12.915666265387046,12.002477142249607,12.80495425785386,11.880512438868788,12.700928911690237,11.987231554327007,12.507159017573702,11.880512438868791,12.214474297054565,11.865266850946192,11.829477828235273,12.219218583882622,10.855346691201753
12.08632787582392,12.915666265387046,12.117908022235028,12.803616925579947,12.002477142249608,12.700928911690237,12.109196257707827,12.506490351436746,12.002477142249612,12.212563822377547,11.987231554327012,11.827388246557284,12.33406867956623,10.841759163726113
12.208292579204741,12.915666265387046,12.222449196561445,12.800491934858254,12.124441845630429,12.700928911690237,12.231160961088648,12.50573810203267,12.124441845630432,12.210545883499949,12.109196257707833,11.825752402615088,12.44099953930115,10.827474988413703
12.330257282585563,12.915666265387046,12.337880076546865,12.800010904627076,12.24640654901125,12.700928911690237,12.35312566446947,12.505117197762639,12.246406549011255,12.208921980024483,12.231160961088655,11.823674761403831,12.531353847088479,10.815026578018214
12.452221985966382,12.915666265387046,12.459844779927685,12.799855678559569,12.36837125239207,12.700928911690237,12.47509036785029,12.504532114892802,12.368371252392075,12.207895099885585,12.353125664469475,11.822098619795291,12.611261187249912,10.802044447712955
12.574186689347204,12.915666265387046,12.581809483308506,12.799700452492061,12.490335955772892,12.700928911690237,12.597055071231111,12.503994793889891,12.490335955772895,12.207333897949212,12.475090367850296,11.820689644720991,12.66667658941101,10.787028116751594
12.696151392728025,12.915666265387046,12.703774186689326,12.799700452492061,12.612300659153712,12.700928911690237,12.719019774611931,12.503863448755846,12.612300659153716,12.206641350878792,12.597055071231116,11.819662764582095,12.711396980650644,10.772225122129168
12.818116096108845,12.915666265387046,12.825738890070149,12.799700452492061,12.734265362534533,12.700928911690237,12.840984477992752,12.503947032022966,12.734265362534536,12.206247315476658,12.719019774611937,11.818755289110511,12.745953646608543,10.758638463051108
12.940080799489664,12.915666265387046,12.947703593450967,12.799700452492061,12.856230065915351,12.700928911690237,12.96294918137357,12.503958972489697,12.856230065915355,12.205757756340672,12.840984477992755,11.817776170838538,12.809985115883475,10.744768416895958
13.062045502870486,12.915666265387046,13.069668296831788,12.799700452492061,12.978194769296174,12.700928911690237,13.084913884754393,12.503958972489697,12.978194769296177,12.205232375804492,12.962949181373578,11.816606005098865,12.855369427887481,10.730761145247879
13.184010206251306,12.915666265387046,13.191633000212608,12.799700452492061,13.100159472676994,12.700928911690237,13.206878588135213,12.503958972489697,13.100159472676998,12.204909983202745,13.084913884754398,11.815161208624371,12.900475413473359,10.715895883798847
13.305974909632127,12.915666265387046,13.31359770359343,12.799700452492061,13.222124176057815,12.700928911690237,13.328843291516034,12.503958972489697,13.222124176057818,12.204396543133297,13.206878588135218,11.813286555347547,12.931578452379,10.700176958203759
13.42793961301295,12.915666265387046,13.435562406974253,12.799700452492061,13.344088879438637,12.700928911690237,13.450807994896856,12.503958972489697,13.34408887943864,12.20399056726443,13.32884329151604,11.811447723470918,12.964219647033804,10.684118629315993
13.549904316393771,12.915988657988793,13.557527110355075,12.799700452492061,13.466053582819459,12.700928911690239,13.572772698277678,12.503958972489697,13.466053582819463,12.203417424861325,13.450807994896863,11.809274558525809,12.998945708413068,10.66964147676348
13.671869019774592,12.916072241255911,13.679491813735893,12.799700452492061,13.58801828620028,12.700928911690239,13.694737401658498,12.503958972489697,13.588018286200283,12.202999508525728,13.572772698277683,11.806970048446656,13.055137345843075,10.655383675007217
13.793833723155412,12.91597671752206,13.801456517116714,12.799700452492061,13.7099829895811,12.700928911690239,13.816702105039319,12.503958972489697,13.709982989581103,12.20213979492107,13.694737401658504,11.803710301028994,13.108006466460704,10.640976448325235
13.907975032733845,12.917737622142129,13.923421220497536,12.799700452492061,13.83194769296192,12.700308007420208,13.938666808420141,12.503958972489697,13.831947692961924,12.20126814084968,13.816702105039324,11.80139385048311,13.16604219191397,10.625716732522669
14.030140335955753,12.918723024870275,14.045385923878356,12.799700452492061,13.95391239634274,12.699818448284221,14.06063151180096,12.503958972489697,13.953912396342744,12.200324843977903,13.938666808420145,11.799996815875542,13.198216322270113,10.610817511177874
14.213087391026983,12.918794667670662,14.167350627259175,12.799700452492061,14.075877099723563,12.699161722613997,14.182596215181782,12.503958972489697,14.075877099723566,12.19925020197208,14.060631511800967,11.79779976999697,13.231017435679348,10.595727334259301
14.345446813445943,12.917090437419004,14.289315330639997,12.799700452492061,14.197841803104382,12.698373651809726,14.3045609185626,12.503958972489697,14.197841803104385,12.198127798099332,14.18075199083631,11.794451817196036,13.263334905911119,10.579155735394204
14.457016797788626,12.91606030078918,14.411280034020818,12.799700452492061,14.319806506485204,12.697621402405652,14.426525621943423,12.503958972489697,14.319806506485207,12.196778525358688,14.298782348946782,11.790815752488163,13.313474755303748,10.563058445534944
14.578981501169444,12.916084181722644,14.533244737401638,12.799700452492061,14.441771209866024,12.696797510201188,14.548490325324243,12.503958972489697,14.441771209866028,12.195357609817655,14.418902827982127,11.788498146413241,13.361113119285559,10.548830134021008
14.700946204550267,12.915917015188404,14.65520944078246,12.799700452492061,14.563735913246845,12.695710927728634,14.670455028705064,12.503958972489697,14.563735913246848,12.193363551873519,14.530703806081211,11.787435444874149,13.412036887679907,10.535610088445626
14.822910907931087,12.915666265387046,14.77717414416328,12.800536285163258,14.685700616627665,12.694612404789348,14.792419732085884,12.503947032022966,14.685700616627669,12.190987398993979,14.612013608335094,11.780271164835332,13.462242185838823,10.522773806726054
14.944875611311907,12.915666265387046,14.899138847544101,12.800810915898078,14.807665320008486,12.693597465117183,14.914384435466705,12.503767925021995,14.80766532000849,12.1888261745156,14.72381458643418,11.769214292642092,13.495172655751645,10.507841536650481
15.06684031469273,12.915666265387046,15.021103550924922,12.79959298829148,14.929630023389308,12.692725811045793,15.036349138847527,12.503588818021026,14.929630023389311,12.186927640305315,14.856765081112169,11.762503750339066,13.530847331490534,10.493062104549072
15.188805018073548,12.915666265387046,15.143068254305742,12.79758698988061,15.051594726770128,12.692021323508643,15.158313842228347,12.502872390017144,15.051594726770132,12.18522015356273,14.966571255663313,11.762871149315416,13.56274270622335,10.475004700107094
15.31076972145437,12.915666265387046,15.265032957686564,12.796010848272072,15.173559430150949,12.691949680708255,15.280278545609168,12.502072378746142,15.173559430150952,12.183142512351473,15.060390258263944,11.758080266663818,13.623635133847067,10.457570491811303
15.432734424835191,12.915666265387046,15.386997661067383,12.795234717934532,15.295524133531769,12.691949680708255,15.402243248989988,12.50143953400938,15.295524133531773,12.18127979954138,15.163164711112817,11.758074922678707,13.672504252604718,10.443108710894123
15.554699128216011,12.915666265387046,15.508962364448205,12.795067551400294,15.41748883691259,12.691949680708255,15.524207952370809,12.500806689272618,15.417488836912593,12.179739479333035,15.229690912956901,11.749755673857875,13.72849548920142,10.428787732065206
15.676663831596834,12.915666265387046,15.630927067829026,12.79511531326722,15.539453540293412,12.691949680708255,15.64617265575163,12.50038877293702,15.539453540293415,12.178473789859511,15.341260897299584,11.739267602079837,13.774776738252179,10.41493797728706
15.798628534977652,12.915666265387046,15.752891771209846,12.79511531326722,15.66141824367423,12.691949680708255,15.76813735913245,12.499755928200258,15.661418243674234,12.177399147853688,15.502864129279171,11.732700345377587,13.802001002399681,10.399461945772982
15.920593238358475,12.915666265387046,15.874856474590667,12.79511531326722,15.783382947055053,12.691949680708255,15.890102062513272,12.499600702132751,15.783382947055056,12.176336446314597,15.610555808104866,11.732028385318774,13.832240877345065,10.383449648672306
