0.85A 120-180m,,1.63A 120-180m,,2.94A 120-180m,,4.4A 120-180m,
X,Y,X,Y,X,Y,X,Y
121.58536299868607,12.810325274737144,121.64830871787969,12.582473449497291,121.45947156029884,12.278643377340364,121.71125443707331,11.799515173615678
122.27776590981583,12.802627951431795,122.31238605537233,12.5727737165924,122.09633413096365,12.282389207500998,121.90009159465416,11.78725578623008
122.97016882094562,12.80102491821201,122.93554867538913,12.569946297654743,122.56888986108632,12.27601253726091,122.71838594417116,11.780017130475713
123.63634434907806,12.8020936070252,123.59962601288177,12.569137871418903,123.22195169772007,12.276211189006897,122.81280452296159,11.766792106412481
124.35497464320517,12.801563869035903,124.29202892401155,12.567880319496485,123.91435460884986,12.27184430540817,122.75772701866717,11.755809255969167
125.04737755433494,12.800928183448747,124.98443183514132,12.566567490566488,124.60675751997962,12.26952267108986,124.22009095921885,11.73605315475156
125.73978046546472,12.800485967388116,125.67683474627108,12.565323757895966,125.2991604311094,12.264506282652084,124.71413551154521,11.724210926839053
126.4321833765945,12.800209582350222,126.3503539416428,12.564306660956515,125.99156334223917,12.26331782698914,125.48418269661792,11.712007985484583
127.12458628772427,12.799877920304748,127.06164056853065,12.566360201788068,126.68396625336896,12.261756251525037,126.6489964093725,11.700187304508342
127.86594698044908,12.79685764602954,127.80799695325496,12.56348579739397,127.37636916449873,12.259379340199148,127.63429308704818,11.687193552553921
128.50939210998382,12.796022349026126,128.44644639079021,12.560321188710082,128.06877207562852,12.256753682339156,127.81698919885403,11.695650597658554
129.20179502111358,12.795497217454129,129.13884930191998,12.559740780130506,128.76117498675828,12.253727266174215,128.4798863041118,11.67358988941515
129.89419793224337,12.794516050569605,129.83125221304977,12.558994540528191,129.45357789788807,12.249857875643698,128.69613107692487,11.658194897323153
130.58660084337316,12.7934796066775,130.52365512417953,12.558510866711877,130.14598080901783,12.246997290501495,129.49314377852403,11.647080665277896
131.27900375450292,12.792277331762662,131.2160580353093,12.557764627109563,130.83838372014762,12.243970874336556,130.57086441357472,11.635203116983341
131.97140666563268,12.791102695351613,131.90846094643908,12.556562352194724,131.53078663127738,12.240529880614774,131.4732362594432,11.620734853794298
132.66380957676247,12.789734589414037,132.60086385756887,12.554627656929465,132.22318954240717,12.238042415273728,131.81179430624886,11.60654998397804
133.3164572968226,12.78959930621128,133.29326676869863,12.551932902809998,132.91559245353693,12.235858973474365,132.5589000447731,11.595137036738652
