0.85A 300-600m,,1.63A 300-600m,
X,Y,X,Y
,,529.0848248988826,11.274572099402219
,,531.1495740521977,11.273027339991042
,,532.2928761542314,11.25809464832869
,,534.3576253075464,11.255669727775473
,,535.7731421957784,11.239619467977215
,,538.0379692169495,11.240621545643174
,,537.9141114892291,11.216814014799569
,,539.8176091994568,11.202250692322702
,,540.3912660436349,11.220406114509519
,,542.0014165039988,11.19056136546228
,,544.4785710584047,11.18864867727355
,,544.2721415122041,11.165309504613456
,,545.923577881808,11.149006308190906
,,546.8318678850901,11.173534349592671
,,548.1412210067047,11.145420009779679
,,548.6039861432421,11.124175653858757
,,550.5475997166989,11.107538679205335
,,550.1760265335381,11.134615574351026
,,552.3641797232632,11.085725688012745
,,552.8596106341444,11.11010460380791
,,554.6674988703423,11.08304883251397
,,555.25419337007,11.057414932918213
,,556.3335249973469,11.041212579217593
,,557.4544894742776,11.017307628534972
,,557.9082875355049,11.053888858929447
,,559.8369292957209,11.024558771024038
,,562.4379415778469,10.995002196119255
,,563.7590906735301,10.977682418783942
,,565.067536412524,10.951701138829918
,,564.9150961322528,10.989208632461956
,,566.9620080535251,10.938611343618835
,,568.9729112118509,10.916542918303271
,,568.6308279638615,10.945920695032807
,,570.7364093351066,10.924770803592745
,,571.173170796015,10.898388893856264
,,573.461279344953,10.883771179767434
,,573.3787075264728,10.904663888974632
,,575.0714298053167,10.863027619998633
,,576.1861493547995,10.873752925681117
,,576.846723902641,10.845262038608467
,,578.5084817495549,10.822855352201742
,,578.4155884537647,10.85289135878755
,,580.0548819088862,10.7961021327802
,,580.7688852804501,10.813244026371557
,,581.6358893744923,10.773026813044412
,,582.5736693129459,10.749152535036064
,,582.8001520150631,10.791268822837603
,,584.0766151854509,10.726792686059161
,,584.1130439288982,10.773178420317686
,,584.4846171120589,10.753772012520288
,,585.4259358427332,10.724453873141618
,,591.2967921366751,10.636735108056968
,,591.709651229076,10.664417347803463
,,591.5445075921157,10.596083189450473
,,591.7465912531329,10.558406520043992
,,592.4406546809154,10.52833175828319
,,593.7877086608275,10.61729418253217
,,594.2969015414554,10.582519489830753
