0.85A 300-600m,,1.63A 300-600m,
X,Y,X,Y
308.81270312889444,12.476576442447007,308.193414490293,12.11739241614908
311.74990067197564,12.47421996369587,309.60893137852486,12.10641442520032
314.47477068182206,12.471840517075702,311.87375839969593,12.104898062402633
317.1996406916685,12.469873929547933,314.2408171961282,12.102132733705773
319.9245107015149,12.467682146151583,316.44273235560007,12.09510209681168
322.64938071136135,12.464176720188505,318.6567904295543,12.090216641788084
325.47746549430803,12.45885039693923,320.69680006259443,12.079738301910648
328.1581006013972,12.451787654153968,322.8679531720442,12.076447850775763
330.8239907409006,12.448218208808523,324.90796280508437,12.069782386045794
333.54886075074705,12.450192548980947,327.07911591453416,12.07015909508459
336.2737307605935,12.447175047399796,329.1191255475743,12.063760774473234
338.9986007704399,12.44423261110817,331.4432793795021,12.061007418380397
341.72347078028633,12.44181563184324,333.70810640067316,12.057152503723609
344.44834079013276,12.439736446381179,335.28286893883114,12.05522705267769
347.1732107999792,12.437356999761011,336.64530394375436,12.02033301436978
349.9971669920019,12.428846054164142,339.3288880443607,12.021350497706791
352.62295081967204,12.424509821574091,341.59961305256604,12.017601714587185
355.2888409591755,12.419691968973053,344.01809815699914,12.013958598222345
357.9694760662647,12.419623255812633,346.36487615590994,12.007839805616502
360.7975608492113,12.417277650101678,348.58328339248715,12.005611281729172
363.52243085905775,12.414222615875762,351.2605158147488,11.998660619291467
366.2473008689042,12.411392777518428,352.463705169746,11.985065082359222
368.9721708787506,12.408900732963968,354.52210264471654,11.986917598188427
371.69704088859703,12.405770633448526,356.17353901432045,11.978623868158458
374.5262121428395,12.39792467855719,358.41568146997497,11.968559026420456
376.94860854393744,12.396241172879655,360.30212993833015,11.97070193691771
379.8716509181363,12.39360291918968,365.7931558672632,11.936604175203588
382.59652092798274,12.38998489529231,368.10516678470856,11.928341240401002
385.32139093782916,12.387117524290213,370.47222558114083,11.923011598008006
388.0462609476756,12.385038338828155,372.6741407406127,11.913756109338197
390.771130957522,12.383221881879441,374.85541294546454,11.90857484993185
393.49600096736845,12.381292826996438,376.7132788612689,11.89819161296251
396.2208709772149,12.379513902692489,378.7982172778938,11.896038513314577
399.16042771510985,12.374293312800345,380.4496536474977,11.885295152669697
401.6706109969078,12.369106346415212,382.53459206412265,11.882884016089013
404.3954810067542,12.365300659294022,384.39245797992703,11.872062116334
406.8891499248561,12.362250641726526,386.4773963965519,11.869243281399571
409.845221026447,12.359171824519809,388.1288327661558,11.857976965904314
412.57009103629343,12.355403670043382,390.1931282281607,11.855158243772916
415.29496104613986,12.352836560199394,391.8445645977646,11.844442407067527
418.0198310559863,12.350869972671628,393.9295030143895,11.841845483895264
420.7447010658327,12.348415460761931,395.7873689301939,11.831591265392301
423.66420464781106,12.342772291379084,397.8723073468188,11.829188730042711
426.1944410855256,12.33725725158938,399.5237437164227,11.817454507576066
428.91931109537205,12.333432798145807,401.58214119139325,11.814521789924775
431.6441811052185,12.32842606639218,402.9976580796252,11.802511651245014
434.3690511150649,12.32927442722169,405.10948437831826,11.799139993303113
437.09392112491133,12.32576900125861,407.14949401135834,11.789147370004972
439.81879113475776,12.323427087283205,409.3206471208082,11.784278339987377
442.5436611446042,12.321197771242092,411.3606567538483,11.774528574978884
445.2685311544506,12.318255334950468,413.4990239941957,11.770236512556957
448.20572869753187,12.312263551463644,415.35688991000006,11.759543631268318
450.71827117414347,12.306890696231715,417.49525715034747,11.753269238057143
453.4431411839899,12.304004558907236,419.53526678338756,11.740750888546668
456.1680111938363,12.300161339141283,421.7064198928374,11.73347756146156
458.78966643058254,12.300650576140296,423.7464295258775,11.722464933346899
461.6177512135292,12.297035115948168,425.9604875998317,11.712746598359317
464.3426212233756,12.293379559406032,428.35869190674333,11.701528352787147
467.06749123322203,12.2905497210487,430.77717701117643,11.694630168420115
469.89557601616866,12.286415059270674,433.1956621156095,11.687377794410654
472.5172312529149,12.279260147619475,435.5424401145203,11.67645679867741
475.2421012627613,12.275848553268304,437.7544956727529,11.669689756739082
477.96697127260774,12.271536175442803,439.40593204235677,11.658010582151425
480.5803693275059,12.268232158265574,441.47657918270625,11.657603345856247
483.4167112923006,12.269254436756873,442.61988128473973,11.643655164337313
486.141581302147,12.266274467820484,444.6846304380549,11.643510042618507
488.86645131199344,12.263557227397442,446.1001473262869,11.631352454262887
491.59132132183987,12.260502193171526,448.15854480125745,11.629860811443644
494.3161913316863,12.256884169274155,449.8099811708613,11.61886973534332
497.0410613415327,12.248724695360373,451.89491958748624,11.615927042681172
499.76593135137915,12.244449850179636,453.7527855032906,11.605182554005983
502.2981337847718,12.240880837489971,455.83772391991556,11.602129765585861
505.215671371072,12.24000998441979,457.4891602895194,11.590698306453644
