0.85A 0-1m,,1.63A 0-1m,,2.94A 0-1m,,4.4A 0-1m,,12A 0-1m,,17A 0-1m,,34A 0-1m,,51A 0-1m,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0.029001519817621446,13.203097981183433,0.008773947126344606,13.187336236229191,-0.008563972323321511,13.191786611275095,0.005884293884733438,13.186347263996769,-0.022567676494206435,13.186361528019352,-0.003988688024104459,13.180773993395302,0.011663600367955329,13.19221928662678,-0.011814832220133908,13.188394745571706
0.06078770547534251,13.197720444669633,0.04056013278406567,13.175097704852957,0.023222213334399555,13.177570135434014,0.037670479542454505,13.175715812498222,0.005884293884733438,13.17197282731301,0.016287045554532753,13.15958320295682,0.03550323961124624,13.175504625719423,-0.004390028752105923,13.17053744400345
0.08534975802903633,13.187459857758245,0.07234631844178674,13.164528064118937,0.04922909250889873,13.16149933665714,0.06656701195856485,13.16426708533538,0.028680447235220452,13.15845000560717,0.047784265888092925,13.144489014259465,0.057691648430759024,13.15744631652605,0.008773947126344606,13.156863529317658
0.1330290365156177,13.170647329807053,0.1041325040995078,13.153711180326809,0.07957045154581399,13.146392785806878,0.09257389113306358,13.150668717139563,0.043449786025677284,13.144001739399114,0.07812562492500863,13.130284900571288,0.07957045154581399,13.140001552754844,0.02418543108160298,13.139582269735474
0.16481522217333877,13.15995406754398,0.13591868975722887,13.139247461427622,0.10346566104375121,13.128202353274167,0.11213462076858427,13.133380193471805,0.060525009726105417,13.127132551580441,0.10124285085789664,13.113101508032939,0.09546354437467475,13.122074370683361,0.0379594448666154,13.122459657782242
0.19660140783105984,13.14672656393532,0.16140017743325297,13.121878636595692,0.1344738631364235,13.111852930589505,0.1330290365156177,13.114894020204206,0.07812562492500863,13.107785782283665,0.12082827838437149,13.099372650445344,0.11183824607713744,13.10224341706446,0.05356357237131526,13.105257722014533
0.2283875934887809,13.135724247849616,0.18639129971070112,13.104419155975792,0.15759108906931152,13.094748126023196,0.15638706688530668,13.097653967798372,0.09257389113306358,13.092649012837413,0.14330335915245707,13.08524545681969,0.1298504179498461,13.083092381855353,0.06532858914073181,13.08770611392179
0.2601737791465024,13.122929419592642,0.21971863376394785,13.08738822998994,0.18151099645820246,13.081468132320852,0.18793244810622678,13.080836288950138,0.11213462076858427,13.077888390949646,0.15527936647602258,13.071329793365972,0.1402531696196454,13.066859329821597,0.07602405893110964,13.070328458980644
0.29195996480422304,13.113163318797465,0.25150481942166936,13.073789861794124,0.2110496740391148,13.069833972864432,0.2100864562919118,13.06405466638121,0.13278823207881718,13.060371774994843,0.17259505782383,13.055294179178135,0.15470143582770035,13.051748143163996,0.11729647997795833,12.986052915480206
