0.85A 180-300,,1.63A 180-300,,2.94A 180-300,
X,Y,X,Y,X,Y
185.86159600490026,12.692707899170944,183.23523306783449,12.42128061748283,181.42206991424536,11.860327253907704
187.02886842137394,12.691344695136518,184.51923272595553,12.411591729304265,183.29359668865817,11.858126062977657
188.19614083784762,12.689609708183612,185.80323238407658,12.410239791418883,183.51246026674696,11.841617131002302
189.3634132543213,12.688016352818698,187.08723204219763,12.40900051502395,185.44721429705208,11.838828759113703
190.53068567079498,12.686458405350782,188.37123170031867,12.406731190716345,186.2069140947737,11.825299991802352
191.69795808726866,12.68502438552236,189.65523135843972,12.40331915700562,188.15178448602163,11.822657972554678
192.86523050374234,12.683253990672457,190.93923101656077,12.398635657902693,190.07969405533925,11.807608114177288
194.03250292021602,12.681235740543565,192.22323067468182,12.394048725791578,192.1348965458676,11.792092727501707
195.1997753366897,12.67928830620867,193.50723033280286,12.39115171603719,193.94078865892166,11.778184305052822
196.36704775316338,12.677942806122743,194.7912299909239,12.388415651269156,195.11896416939538,11.762095760792283
197.53432016963706,12.676862865264303,196.04743744865272,12.386121035606553,196.97236187770616,11.748434927213099
198.70159258611073,12.675836036251358,197.34172022091892,12.384641491339133,198.91991576030304,11.736444202136564
199.8688650025844,12.674472832216932,198.6373926032047,12.383083543871217,200.23417803662898,11.720890955529258
201.0361374190581,12.672826365006522,199.9272286234081,12.38122141037909,202.09316744064262,11.716425626296722
202.1515310614663,12.67127825306555,201.21122828152915,12.379724622005991,202.5058395070727,11.701277126525472
203.18910654277624,12.667501410719087,202.4952279396502,12.377922038158815,204.42609106190042,11.69464485187943
204.3045001851844,12.665780193503902,203.77922759777124,12.375829753336202,205.35018172494208,11.679906314753978
205.47177260165807,12.663354752559535,205.0632272558923,12.37351214553269,207.06281565628635,11.673208320905175
206.63904501813178,12.661017831357661,206.29469965527204,12.371522865501344,208.26349913105764,11.656404323121501
207.80631743460546,12.659052693074267,207.450299347581,12.367061470479586,209.8918441520384,11.641199582018908
208.9735898510791,12.657600969297345,208.68177174696072,12.364225619820012,211.79672156692192,11.623475400435868
210.1408622675528,12.656149245520425,209.96577140508174,12.361119381583363,213.8400041397587,11.614970760794996
211.30813468402647,12.654591298052509,211.2497710632028,12.357707347872637,214.2624455857206,11.600402940315785
212.47540710050015,12.652555343975118,212.53377072132383,12.355003472101876,216.0630532040737,11.596539809816974
213.64267951697383,12.650218422773246,213.81777037944488,12.352830714786084,216.80131867595162,11.58080787289898
214.8099519334475,12.648341804232347,215.10177003756593,12.350336067497583,218.59775092490463,11.575146150168987
215.9772243499212,12.646836968609929,216.38576969568697,12.34734249075138,219.24836633608675,11.559801885091318
217.14449676639487,12.645137389554021,217.66976935380808,12.344284536010637,220.78548880393396,11.548055023438877
218.31176918286857,12.642357869639671,218.92597681153688,12.341102423708993,222.561701935575,11.53820766635067
219.47904159934225,12.639295086549337,220.148833628795,12.336077874515931,223.00420429709277,11.52231756784785
220.64631401581596,12.63740076405994,221.40504108652385,12.332986197968522,224.94020897641556,11.508177171268114
221.81358643228964,12.636055263974013,222.6890407446449,12.329654636750975,226.92123702037372,11.489370519691134
222.98085884876332,12.63463894809409,223.97304040276595,12.326805910492494,228.83313828226545,11.469258834196223
224.12048533958367,12.633265494405268,225.257040060887,12.324971137648047,230.76510677612217,11.45422154293985
225.2263223657166,12.630376955439637,226.54103971900804,12.32310417580633,232.4941290430238,11.434748780300593
226.365948856537,12.62837175032543,227.8250393771291,12.320802662501455,234.19608753414025,11.416752349518745
